,ds,yhat,yhat_lower,yhat_upper
0,2020-12-21,2688.4497431141976,2582.268126248616,2794.5898339299843
1,2020-12-22,2689.809340691551,2578.710728685284,2793.7405411429445
2,2020-12-23,2697.3374237757353,2593.2860171782686,2806.2048869426994
3,2020-12-24,2702.3672727491376,2595.7505611963684,2807.653663626906
4,2020-12-28,2728.147381227556,2623.3450401286054,2839.3334867597277
5,2020-12-29,2736.9044907062907,2631.8270363320894,2837.7702386586725
6,2020-12-30,2751.649784387,2635.331598859936,2854.866993776162
7,2020-12-31,2763.5903145849647,2658.874029138377,2873.7439646733146
8,2021-01-01,2773.9952880227156,2671.1895681390997,2878.9641645903616
9,2021-01-04,2811.754803589997,2704.883009592559,2920.9256800205203
10,2021-01-05,2824.3576430176013,2717.157277461788,2928.415137913931
11,2021-01-06,2842.1282185331415,2736.9075991853583,2946.5491498885144
12,2021-01-07,2856.2433188230084,2749.6771277802804,2969.5031075628044
13,2021-01-08,2867.9596099460896,2759.9257144551793,2973.5859908277284
14,2021-01-11,2904.6061093181083,2803.4825763842523,3002.085409453815
15,2021-01-12,2915.279408454107,2806.1142477161566,3022.4105777383884
16,2021-01-13,2930.4379925918697,2826.540133502274,3039.858537047677
17,2021-01-14,2941.3338986550584,2840.8316952464547,3040.37007841385
18,2021-01-15,2949.307494303204,2843.4207224160104,3054.4652015965544
19,2021-01-18,2972.4986369555845,2863.621056311781,3074.4712691425634
20,2021-01-19,2978.2573769634014,2872.1290426978794,3082.9908018770434
21,2021-01-20,2988.438941535674,2885.4040739290426,3100.768680851459
22,2021-01-21,2994.3794396741378,2891.3749636031275,3096.372679587849
23,2021-01-22,2997.4956416441883,2899.9360567752933,3106.07706338776
24,2021-01-25,3007.318710676136,2893.6220114881885,3108.3492730637086
25,2021-01-27,3015.763492493057,2900.787054846673,3117.4843428743416
26,2021-01-28,3018.439662334598,2912.815375111916,3130.7985284570823
27,2021-01-29,3018.6107452369624,2911.337854575867,3124.394588834089
28,2021-02-01,3021.295459011873,2917.789389547791,3129.235747469038
29,2021-02-02,3021.2150778220903,2914.899463349003,3124.072161304069
30,2021-02-03,3026.021971663945,2911.529883081824,3129.645271596002
31,2021-02-04,3027.0064628448345,2927.827416943713,3132.6051951103245
32,2021-02-05,3025.525710246035,2920.900616908592,3130.7751422948227
33,2021-02-08,3022.9694841785627,2917.189572644486,3117.116797351969
34,2021-02-09,3020.8915644098715,2909.1454732833977,3125.698554176615
35,2021-02-10,3023.513693587467,2918.9605150203224,3131.422423404279
36,2021-02-11,3022.101546765368,2912.046154419235,3123.294905621771
37,2021-02-12,3017.997550775625,2925.3740657648164,3129.992262930807
38,2021-02-15,3006.2263710664038,2898.604430336052,3115.073474353443
39,2021-02-16,3000.6883919998163,2895.1268789492988,3110.2106849217016
40,2021-02-17,2999.7129590009267,2893.2871178072583,3106.6922072964353
41,2021-02-18,2994.6143566369524,2884.071091582557,3106.0603697106753
42,2021-02-19,2986.791843259948,2871.7476657682364,3094.1411674853916
43,2021-02-22,2964.333238112934,2851.8263186049016,3064.448769121691
44,2021-02-23,2955.627643618317,2850.8739096881336,3073.223970939527
45,2021-02-24,2951.804161817839,2843.7814138228105,3055.584598831227
46,2021-02-25,2944.247886610046,2836.0966433923277,3051.3743453282395
47,2021-02-26,2934.424523922705,2832.6162532581216,3050.87526825095
48,2021-03-01,2909.2659510578974,2806.3520233048043,3026.0320387063657
49,2021-03-02,2900.9032692158257,2802.5447528319673,3009.1728759455127
50,2021-03-03,2898.0881622691863,2782.2116669934016,3000.0455582869563
51,2021-03-04,2892.214000929911,2784.116076616225,2997.2670368636573
